Comments,Processed Comments
"ang kabataan ang pag-asa ng bayan, pero kailangan nating i-support sila not just say it","['ang kabataan ang pag-asa ng bayan, pero kailangan nating i-support sila not just say it']"
"grabe ang peer pressure na nararamdaman ng mga kabataan, social media amplifies it","['grabe ang peer pressure na nararamdaman ng mga kabataan, social media amplifies it']"
"sana makilala ng mga bata ang tunay na kasaysayan ng Pilipinas, not just the sanitized version","['sana makilala ng mga bata ang tunay na kasaysayan ng Pilipinas, not just the sanitized version']"
"I'm proud of the activists and the students who speak up, they give me hope","['I'm proud of the activists and the students who speak up, they give me hope']"
"grabe ang insecurity sa ilang parts ng Pinas, hindi ba dapat safe ang bawat Pilipino","['grabe ang insecurity sa ilang parts ng Pinas, hindi ba dapat safe ang bawat Pilipino']"
"nakakainis ang impunity, parang walang accountability ang mga may kapangyarihan","['nakakainis ang impunity, parang walang accountability ang mga may kapangyarihan']"
I'm scared to go out at night and that's not how it should be,['I'm scared to go out at night and that's not how it should be']
ang war on drugs failed pero marami pa rin na naniniwala sa premise nito,"['ang war on drugs failed', 'pero marami pa rin na naniniwala sa premise nito']"
"grabe ang human rights violations, we cannot normalize this","['grabe ang human rights violations, we cannot normalize this']"
"dapat malakas ang justice system natin, hindi lang papabor sa may pera","['dapat malakas ang justice system natin, hindi lang papabor sa may pera']"
"nakakalungkot ang nangyari, another senseless death. when will this stop?","['nakakalungkot ang nangyari, another senseless death. when will this stop?']"
"I know a lot of good cops pero yung sistema ay corrupt, mahirap maniwala","['I know a lot of good cops', 'pero yung sistema ay corrupt, mahirap maniwala']"
"grabe ang red-tagging, anyone who speaks up is labeled as an enemy of the state","['grabe ang red-tagging, anyone who speaks up is labeled as an enemy of the state']"
sana dumating ang araw na safe ang lahat ng Pilipino sa sarili nilang bansa,['sana dumating ang araw na safe ang lahat ng Pilipino sa sarili nilang bansa']
"grabe ang scammers ngayon, every day may bagong scheme na sinusubukan","['grabe ang scammers ngayon, every day may bagong scheme na sinusubukan']"
"nakakatakot ang AI deepfakes, hindi mo na alam kung totoong video o hindi","['nakakatakot ang AI deepfakes, hindi mo na alam kung totoong video o hindi']"
"I got scammed once and it's traumatizing, please be careful online","['I got scammed once and it's traumatizing, please be careful online']"
"ang digital divide sa Pinas is still huge, maraming wala pa ring internet access","['ang digital divide sa Pinas is still huge, maraming wala pa ring internet access']"
"grabe ang data privacy issues, our personal data is being sold without our knowledge","['grabe ang data privacy issues, our personal data is being sold without our knowledge']"
"sana mag-regulate ng properly ang gobyerno ng big tech, hindi lang tax them","['sana mag-regulate ng properly ang gobyerno ng big tech, hindi lang tax them']"
"yung gov websites ay outdated and hard to use, e-governance is still a dream","['yung gov websites ay outdated and hard to use, e-governance is still a dream']"
"grabe ang cyberbullying cases, we need stronger laws at enforcement","['grabe ang cyberbullying cases, we need stronger laws at enforcement']"
I appreciate the fintech innovations pero sana accessible sa lahat hindi lang sa may smartphone,"['I appreciate the fintech innovations', 'pero sana accessible sa lahat hindi lang sa may smartphone']"
"ang digital literacy programs should be in the curriculum, essential skill na ngayon","['ang digital literacy programs should be in the curriculum, essential skill na ngayon']"
"grabe ang presyo ng bigas ngayon, pati ang pangunahing pagkain hindi na afford ng mahihirap","['grabe ang presyo ng bigas ngayon, pati ang pangunahing pagkain hindi na afford ng mahihirap']"
nakakainis ang rotational brownouts habang ang electric bill ay tumataas pa,['nakakainis ang rotational brownouts habang ang electric bill ay tumataas pa']
I can't believe how much my grocery bill has increased in just one year😭😭,['I can't believe how much my grocery bill has increased in just one year😭😭']
"ang inflation is hitting the poor the hardest, those with fixed income are suffering","['ang inflation is hitting the poor the hardest, those with fixed income are suffering']"
"grabe ang price of onions nung nakaraang taon, parang luxury item na ang sibuyas","['grabe ang price of onions nung nakaraang taon, parang luxury item na ang sibuyas']"
sana may malakas na regulation sa price manipulation ng mga kartelo,['sana may malakas na regulation sa price manipulation ng mga kartelo']
"yung food insecurity sa maraming Pilipino ay hindi lang statistics, it's real families","['yung food insecurity sa maraming Pilipino ay hindi lang statistics, it's real families']"
"grabe ang markup sa palengke minsan, mula farm to table ang laki ng difference","['grabe ang markup sa palengke minsan, mula farm to table ang laki ng difference']"
I started a small vegetable garden and I encourage everyone to do the same,['I started a small vegetable garden and I encourage everyone to do the same']
"sana mabigyan ng solusyon ang agricultural sector, ang daming issues mula seed to market","['sana mabigyan ng solusyon ang agricultural sector, ang daming issues mula seed to market']"
"grabe ang power ng simbahan sa pulitika natin, separation of church and state is important","['grabe ang power ng simbahan sa pulitika natin, separation of church and state is important']"
"nakakatuwa yung mga traditions natin sa Pasko, uniquely Pilipino talaga","['nakakatuwa yung mga traditions natin sa Pasko, uniquely Pilipino talaga']"
I respect all religions pero I think we should separate faith from policymaking,"['I respect all religions', 'pero I think we should separate faith from policymaking']"
ang pagmamahal ng Pilipino sa pamilya is both a strength and sometimes a weakness,['ang pagmamahal ng Pilipino sa pamilya is both a strength and sometimes a weakness']
"grabe ang bayanihan spirit na nakikita ko sa calamity times, proud to be Pinoy","['grabe ang bayanihan spirit na nakikita ko sa calamity times, proud to be Pinoy']"
"sana mapanatili natin ang mga cultural traditions, marami na ang nawawala","['sana mapanatili natin ang mga cultural traditions, marami na ang nawawala']"
"yung regionalism sa Pinas is still a thing, we need more national unity","['yung regionalism sa Pinas is still a thing, we need more national unity']"
"grabe ang colonial mentality, we still worship foreign brands and foreign skin","['grabe ang colonial mentality, we still worship foreign brands and foreign skin']"
I think the Filipino identity is strong pero we need to define it for ourselves,"['I think the Filipino identity is strong', 'pero we need to define it for ourselves']"
sana mas maraming Pilipinong proud sa sarili nilang kultura at wika,['sana mas maraming Pilipinong proud sa sarili nilang kultura at wika']
"grabe ang discrimination that women still face in workplaces, we need real equality","['grabe ang discrimination that women still face in workplaces, we need real equality']"
nakakainis ang mansplaining and the culture of dismissing women's opinions,['nakakainis ang mansplaining and the culture of dismissing women's opinions']
"I support the LGBTQ+ community, love is love at walang masama sa pagmamahal","['I support the LGBTQ+ community, love is love at walang masama sa pagmamahal']"
"ang SOGIE bill should be passed na, basic rights are not special privileges","['ang SOGIE bill should be passed na, basic rights are not special privileges']"
"grabe ang gender-based violence, marami pang nangyayari na hindi nire-report","['grabe ang gender-based violence, marami pang nangyayari na hindi nire-report']"
"sana mas maraming women in leadership positions, they bring a different perspective","['sana mas maraming women in leadership positions, they bring a different perspective']"
"yung victim-blaming culture is toxic, we need to change the narrative","['yung victim-blaming culture is toxic, we need to change the narrative']"
"grabe ang pay gap na still exists, equal work should mean equal pay","['grabe ang pay gap na still exists, equal work should mean equal pay']"
"I was harassed once and I know how hard it is to speak up, support survivors","['I was harassed once and I know how hard it is to speak up, support survivors']"
"sana lumago ang awareness sa gender issues, hindi lang sa social media kundi sa ugali","['sana lumago ang awareness sa gender issues, hindi lang sa social media kundi sa ugali']"
"hindi ko akalain na ganito ang mangyayari, shocked talaga ako sa balita","['hindi ko akalain na ganito ang mangyayari, shocked talaga ako sa balita']"
"yung video went viral for a reason, can we talk about the actual issue and not the drama","['yung video went viral for a reason, can we talk about the actual issue and not the drama']"
"I don't usually comment pero this one is important, need to speak up","['I don't usually comment', 'pero this one is important, need to speak up']"
"grabe ang gaslighting sa mga nagsasalita ng katotohanan, stay strong sa mga brave souls","['grabe ang gaslighting sa mga nagsasalita ng katotohanan, stay strong sa mga brave souls']"
"nakakaiyak ang mga testimonya ng mga biktima, we have to do better as a society","['nakakaiyak ang mga testimonya ng mga biktima, we have to do better as a society']"
"I shared this to my contacts, sana makarating sa tamang tao","['I shared this to my contacts, sana makarating sa tamang tao']"
"grabe ang number of people affected, this is bigger than most people realize","['grabe ang number of people affected, this is bigger than most people realize']"
"hindi na tayo pwede mag-stay silent sa mga ganyang bagay, we have to act","['hindi na tayo pwede mag-stay silent sa mga ganyang bagay, we have to act']"
"yung issue na ito ay hindi bago, it's been happening for years walang aksyon","['yung issue na ito ay hindi bago, it's been happening for years walang aksyon']"
"sana may mabago talaga, hindi lang trending tapos nakalimutan na","['sana may mabago talaga, hindi lang trending', 'tapos nakalimutan na']"
I've been following this story and the truth is more complicated than the headlines,['I've been following this story and the truth is more complicated than the headlines']
"grabe ang media bias, depends sa kung sinong nagtatago ng advertisement","['grabe ang media bias, depends sa kung sinong nagtatago ng advertisement']"
"nakakainis yung selective outrage ng mga tao, consistent ka kaya","['nakakainis yung selective outrage ng mga tao, consistent ka', 'kaya']"
I think we all need to educate ourselves more bago mag-share ng content,['I think we all need to educate ourselves more bago mag-share ng content']
"grabe ang power of collective action, we proved that we can make a difference","['grabe ang power of collective action, we proved that we can make a difference']"
"hindi lang ang iboto mo ang mahalaga, yung partisipasyon mo sa society ang mas important","['hindi lang ang iboto mo ang mahalaga, yung partisipasyon mo sa society ang mas important']"
"nakakatawa na rin kasi nakakaiyak, classic Filipino coping mechanism","['nakakatawa na rin', 'kasi nakakaiyak, classic Filipino coping mechanism']"
I'm exhausted by the news cycle pero di rin tayo pwedeng mag-disengage,"['I'm exhausted by the news cycle', 'pero di rin tayo pwedeng mag-disengage']"
"grabe kung isipin mo na mga bata pa lang sila, ang daming naghihintay na sa kanila","['grabe kung isipin mo na mga bata pa lang sila, ang daming naghihintay na sa kanila']"
sana dumating ang araw na walang dapat pag-usapan na ganitong klase ng balita,['sana dumating ang araw na walang dapat pag-usapan na ganitong klase ng balita']
this country deserves better at tayo mismo ang magbabago nito,['this country deserves better at tayo mismo ang magbabago nito']
"grabe ang loob ng mga nagsasalita para sa katotohanan, saludo ako sa kanila","['grabe ang loob ng mga nagsasalita para sa katotohanan, saludo ako sa kanila']"
I don't always agree pero I respect those who stand up for what they believe in,"['I don't always agree', 'pero I respect those who stand up for what they believe in']"
"nakakaiyak ang mga ganoong sitwasyon, pero I believe we can get through this","['nakakaiyak ang mga ganoong sitwasyon, pero I believe we can get through this']"
"ang Pilipino ay matibay, we've been through so much and we're still standing","['ang Pilipino ay matibay, we've been through so much and we're still standing']"
grabe ang dami pang dapat ayusin pero hindi ibig sabihin na wala tayong pag-asa,"['grabe ang dami pang dapat ayusin', 'pero hindi ibig sabihin na wala tayong pag-asa']"
sana makita ng susunod na henerasyon ang mas magandang Pilipinas,['sana makita ng susunod na henerasyon ang mas magandang Pilipinas']
"I choose to stay hopeful, kahit mahirap minsan, still believe in this country","['I choose to stay hopeful, kahit mahirap minsan, still believe in this country']"
"nagtatapos man ang balita sa negatibo, lagi may Pilipino na nagsisikap para sa iba","['nagtatapos man ang balita sa negatibo, lagi may Pilipino na nagsisikap para sa iba']"
"grabe ang lakas ng Filipino spirit, we will get through this together","['grabe ang lakas ng Filipino spirit, we will get through this together']"
hindi easy ang daan pasulong pero we have no choice but to keep moving forward💚,"['hindi easy ang daan pasulong', 'pero we have no choice but to keep moving forward💚']"
"I'm proud to be Filipino, flaws and all. mahal ko ang bansang ito","['I'm proud to be Filipino, flaws and all. mahal ko ang bansang ito']"
sana mas maraming nagmamahal at nagbibigay ng oras para sa bansa natin,['sana mas maraming nagmamahal at nagbibigay ng oras para sa bansa natin']
"grabe yung nangyari sa Cebu ngayon, praying for everyone affected","['grabe yung nangyari sa Cebu ngayon, praying for everyone affected']"
nakakainis na paulit-ulit ang same issues tapos wala ring nagbabago sa sistema,"['nakakainis na paulit-ulit ang same issues', 'tapos wala ring nagbabago sa sistema']"
I think people should stop blaming each other at focus sa solusyon na,['I think people should stop blaming each other at focus sa solusyon na']
"yung viral na yon ay overblown ng media, may mas importanteng balita","['yung viral na yon ay overblown ng media, may mas importanteng balita']"
"grabe ang lakas ng loob ng whistleblowers, risking everything para sa katotohanan","['grabe ang lakas ng loob ng whistleblowers, risking everything para sa katotohanan']"
"hindi ko gets bakit ang daming nagtatanggol sa mga corrupt officials, parang stockholm syndrome","['hindi ko gets bakit ang daming nagtatanggol sa mga corrupt officials, parang stockholm syndrome']"
I've been living abroad for 5 years and every time I read Pinoy news naiinis ako,['I've been living abroad for 5 years and every time I read Pinoy news naiinis ako']
ang dami nating potential as a country pero ang dami ring hinahadlangan tayo,"['ang dami nating potential as a country', 'pero ang dami ring hinahadlangan tayo']"
"grabe ang sacrifice ng mga frontliners, they deserve better compensation💚💚","['grabe ang sacrifice ng mga frontliners, they deserve better compensation💚💚']"
nakakatuwa pa rin ang humor ng mga Pilipino kahit sa pinaka-mahirap na sitwasyon,['nakakatuwa pa rin ang humor ng mga Pilipino kahit sa pinaka-mahirap na sitwasyon']
"I don't understand why we keep electing the same families, dynasty politics is a disease","['I don't understand why we keep electing the same families, dynasty politics is a disease']"
"grabe ang nepotism sa gobyerno, parang family business lang ang turing nila sa bansa","['grabe ang nepotism sa gobyerno, parang family business lang ang turing nila sa bansa']"
"sana maging mas critical ang mga voters, hindi lang pamilyar na pangalan ang basehan","['sana maging mas critical ang mga voters, hindi lang pamilyar na pangalan ang basehan']"
ang issue na ito ay may deeper root cause na dapat i-address hindi lang ang symptoms,['ang issue na ito ay may deeper root cause na dapat i-address hindi lang ang symptoms']
"grabe ang propaganda machinery ng iilang politiko, ilang beses pa nilang uulitin ang kasinungalingan","['grabe ang propaganda machinery ng iilang politiko, ilang beses pa nilang uulitin ang kasinungalingan']"
"I'm hopeful na may mga honest officials pa rin, we just need to support them","['I'm hopeful na may mga honest officials pa rin, we just need to support them']"
"nakakaiyak ang mga stories ng mga bata na gutom, in a country na mayaman sa likas yaman","['nakakaiyak ang mga stories ng mga bata na gutom, in a country na mayaman sa likas yaman']"
"grabe ang inequality, the rich are getting richer and the poor are struggling more","['grabe ang inequality, the rich are getting richer and the poor are struggling more']"
"sana may universal basic income tayo, just to ensure no one goes hungry","['sana may universal basic income tayo, just to ensure no one goes hungry']"
yung debate sa economics ay complex pero the basic question is para kanino ang growth?,"['yung debate sa economics ay complex', 'pero the basic question is para kanino ang growth?']"
"grabe ang traffic sa provincial roads din, hindi lang sa Metro Manila ang problema","['grabe ang traffic sa provincial roads din, hindi lang sa Metro Manila ang problema']"
"nakakainis ang corrupt tollway operators, binabayaran mo ng mahal tapos palpak pa","['nakakainis ang corrupt tollway operators, binabayaran mo ng mahal', 'tapos palpak pa']"
I commute 4 hours every day and it's destroying my mental health,['I commute 4 hours every day and it's destroying my mental health']
"grabe ang buhay ng tricycle drivers, they earn so little pero risk ang buhay nila","['grabe ang buhay ng tricycle drivers, they earn so little', 'pero risk ang buhay nila']"
"sana mag-invest ang gobyerno sa rail infrastructure, game changer yan","['sana mag-invest ang gobyerno sa rail infrastructure, game changer yan']"
yung tanim bala at airport corruption is embarrassing for the country,['yung tanim bala at airport corruption is embarrassing for the country']
"grabe ang pasaporte issue, mahirap kumuha at matagal pa ang proseso","['grabe ang pasaporte issue, mahirap kumuha at matagal pa ang proseso']"
"nakakainis na walang efficient na government services, digitalize na kaya","['nakakainis na walang efficient na government services, digitalize na', 'kaya']"
"I had to fix a birth certificate and it took months, sakit sa ulo","['I had to fix a birth certificate and it took months, sakit sa ulo']"
"grabe ang red tape sa gobyerno, simpleng transaksyon tapos araw-araw ka pupunta","['grabe ang red tape sa gobyerno, simpleng transaksyon', 'tapos araw-araw ka pupunta']"
"sana ma-streamline ang mga government processes, para mas accessible sa lahat","['sana ma-streamline ang mga government processes, para mas accessible sa lahat']"
"yung news about the fishermen is heartbreaking, they're just doing their job","['yung news about the fishermen is heartbreaking, they're just doing their job']"
"grabe ang harassment ng foreign vessels sa ating territorial waters, kailan pa tayo aaksyon","['grabe ang harassment ng foreign vessels sa ating territorial waters, kailan pa tayo aaksyon']"
"nakakainis ang diplomatic doublespeak, just say what the actual policy is","['nakakainis ang diplomatic doublespeak, just say what the actual policy is']"
"I support our fishermen, they deserve protection and a livelihood","['I support our fishermen, they deserve protection and a livelihood']"
"grabe ang issue sa West Philippine Sea, hindi ito dapat politikado","['grabe ang issue sa West Philippine Sea, hindi ito dapat politikado']"
"sana may malakas na foreign policy tayo, independent and principled","['sana may malakas na foreign policy tayo, independent and principled']"
"yung historical revisionism is a problem, we can't fix what we don't acknowledge","['yung historical revisionism is a problem, we can't fix what we don't acknowledge']"
"grabe ang gaslighting ng mga apologist ng martial law, alam ng victims kung ano nangyari","['grabe ang gaslighting ng mga apologist ng martial law, alam ng victims kung ano nangyari']"
"nakakaiyak ang testimonya ng mga torture survivors, hindi dapat makalimutan","['nakakaiyak ang testimonya ng mga torture survivors, hindi dapat makalimutan']"
"I studied history and the evidence is clear, hindi fairy tale ang naranasan ng mga biktima","['I studied history and the evidence is clear, hindi fairy tale ang naranasan ng mga biktima']"
"grabe ang nerve ng mga nagtatangkilik sa diktadurya, calling it golden age","['grabe ang nerve ng mga nagtatangkilik sa diktadurya, calling it golden age']"
sana mabigyan ng hustisya ang lahat ng biktima ng human rights violations,['sana mabigyan ng hustisya ang lahat ng biktima ng human rights violations']
"yung accountability ay hindi optional, it's the foundation of democracy","['yung accountability ay hindi optional, it's the foundation of democracy']"
"grabe ang disinformation campaign sa social media, industriya na ang pagsisinungaling","['grabe ang disinformation campaign sa social media, industriya na ang pagsisinungaling']"
"nakakainis ang troll farms, ginagawang weapon ang social media para palitin ang katotohanan","['nakakainis ang troll farms, ginagawang weapon ang social media para palitin ang katotohanan']"
"I fact-check everything now before sharing, please do the same","['I fact-check everything now before sharing, please do the same']"
"grabe ang impact ng fake news sa public opinion, napaniwala na ang marami sa kasinungalingan","['grabe ang impact ng fake news sa public opinion, napaniwala na ang marami sa kasinungalingan']"
"sana mas maraming media literacy programs, simula elementary dapat ito ituro","['sana mas maraming media literacy programs, simula elementary dapat ito ituro']"
"yung press freedom index ng Pinas is concerning, journalists should be protected","['yung press freedom index ng Pinas is concerning, journalists should be protected']"
"grabe ang mga red-tagged journalists, they're doing a public service","['grabe ang mga red-tagged journalists, they're doing a public service']"
"nakakaiyak ang mga nawawalang activists, families still searching for answers☹️","['nakakaiyak ang mga nawawalang activists, families still searching for answers☹️']"
"I stand with the families of victims of extrajudicial killings, justice must be served","['I stand with the families of victims of extrajudicial killings, justice must be served']"
"grabe ang culture of impunity, walang takot because they know malalaya rin sila","['grabe ang culture of impunity, walang takot because they know malalaya rin sila']"
"sana maging malakas ang independent judiciary natin, hindi puppet ng executive","['sana maging malakas ang independent judiciary natin, hindi puppet ng executive']"
"yung checks and balances ay kailangan, wala dapat na nasa labas ng batas","['yung checks and balances ay kailangan, wala dapat na nasa labas ng batas']"
"grabe ang judicial appointments na political ang basehan, hindi credentials","['grabe ang judicial appointments na political ang basehan, hindi credentials']"
"nakakainis na parang laro lang ang gobyerno para sa iilan, pero seryosong buhay sa amin","['nakakainis na parang laro lang ang gobyerno para sa iilan, pero seryosong buhay sa amin']"
"I just want to live a decent life in my own country, is that too much to ask","['I just want to live a decent life in my own country, is that too much to ask']"
"grabe ang brain drain, we're exporting our best people because we can't keep them here","['grabe ang brain drain, we're exporting our best people because we can't keep them here']"
sana dumating ang araw na ang Pilipinas ay magandang lugar para mabuhay at magtatag ng pamilya,['sana dumating ang araw na ang Pilipinas ay magandang lugar para mabuhay at magtatag ng pamilya']
yung nursing homes are understaffed and elderly care is being ignored,['yung nursing homes are understaffed and elderly care is being ignored']
"grabe ang neglect ng PWD community, hindi pa accessible ang karamihan ng public spaces","['grabe ang neglect ng PWD community, hindi pa accessible ang karamihan ng public spaces']"
"nakakainis ang tokenism, hindi lang isang ramp ang sapat para sabihing accessible na","['nakakainis ang tokenism, hindi lang isang ramp ang sapat para sabihing accessible na']"
I have a family member with disability and I know how hard it is to navigate the system,['I have a family member with disability and I know how hard it is to navigate the system']
"grabe ang mental health stigma sa Pinas, hinahayaan ang mga nagdurusa instead of helping","['grabe ang mental health stigma sa Pinas, hinahayaan ang mga nagdurusa instead of helping']"
"sana maging mas open tayo sa mental health conversations, it saves lives","['sana maging mas open tayo sa mental health conversations, it saves lives']"
yung suicide prevention programs are underfunded and understaffed,['yung suicide prevention programs are underfunded and understaffed']
"grabe ang pressure na nararamdaman ng mga young professionals, burnout is real","['grabe ang pressure na nararamdaman ng mga young professionals, burnout is real']"
"nakakainis ang hustle culture, rest is not laziness it's necessary","['nakakainis ang hustle culture, rest is not laziness it's necessary']"
"I quit my toxic job and I have no regrets, my mental health is worth more","['I quit my toxic job and I have no regrets, my mental health is worth more']"
"grabe ang exploitation ng mga workers especially sa BPO, night shift walang benefits","['grabe ang exploitation ng mga workers especially sa BPO, night shift walang benefits']"
"sana maging mas malakas ang labor rights enforcement, maraming naaaabuso","['sana maging mas malakas ang labor rights enforcement, maraming naaaabuso']"
yung contractualization is depriving workers of security and benefits,['yung contractualization is depriving workers of security and benefits']
"grabe ang gig economy trap, flexible pero walang safety net","['grabe ang gig economy trap, flexible', 'pero walang safety net']"
"nakakainis na ang hard work ay hindi enough, systemic changes are needed","['nakakainis na ang hard work ay hindi enough, systemic changes are needed']"
"I believe in the Filipino worker, pag binigyan ng tamang kondisyon extraordinary ang nagagawa nila","['I believe in the Filipino worker, pag binigyan ng tamang kondisyon extraordinary ang nagagawa nila']"
"grabe ang opportunities na nawala dahil sa covid pandemic, we're still recovering","['grabe ang opportunities na nawala dahil sa covid pandemic, we're still recovering']"
"sana mas maraming startup ecosystem support, maraming innovative Pilipinos","['sana mas maraming startup ecosystem support, maraming innovative Pilipinos']"
yung access to capital for small businesses is a major barrier to growth,['yung access to capital for small businesses is a major barrier to growth']
"grabe ang bureaucracy na hinaharap ng mga negosyante, simpleng business permit takes months","['grabe ang bureaucracy na hinaharap ng mga negosyante, simpleng business permit takes months']"
nakakatuwa na ang daming successful Pinoy entrepreneurs despite all the obstacles,['nakakatuwa na ang daming successful Pinoy entrepreneurs despite all the obstacles']
"I started my own small business and it's hard but fulfilling, support small business guys","['I started my own small business and it's hard but fulfilling, support small business guys']"
"grabe ang market dominance ng malalaking conglomerates, walang room para sa maliliit","['grabe ang market dominance ng malalaking conglomerates, walang room para sa maliliit']"
sana may mas fair na playing field para sa lahat ng negosyo,['sana may mas fair na playing field para sa lahat ng negosyo']
yung agrarian reform was supposed to help farmers but implementation is patchy,['yung agrarian reform was supposed to help farmers but implementation is patchy']
"grabe ang issue ng land grabbing, farmers being displaced from lands they've worked for years","['grabe ang issue ng land grabbing, farmers being displaced from lands they've worked for years']"
"nakakaiyak ang sitwasyon ng mga magsasaka, pinaka-important sector pero pinakanapabayaan","['nakakaiyak ang sitwasyon ng mga magsasaka, pinaka-important sector', 'pero pinakanapabayaan']"
"I grew up in a farming family and I know how hard it is, please respect farmers","['I grew up in a farming family and I know how hard it is, please respect farmers']"
grabe ang post-harvest losses dahil kulang sa infrastructure at cold chain facilities,['grabe ang post-harvest losses dahil kulang sa infrastructure at cold chain facilities']
"sana mag-modernize ang agricultural sector, mahalaga para sa food security","['sana mag-modernize ang agricultural sector, mahalaga para sa food security']"
"yung fisherfolk are also being marginalized, we need to protect our maritime resources","['yung fisherfolk are also being marginalized, we need to protect our maritime resources']"
"grabe ang overfishing issue, we're depleting our own resources","['grabe ang overfishing issue, we're depleting our own resources']"
nakakainis ang illegal fishing especially ng foreign vessels sa ating waters,['nakakainis ang illegal fishing especially ng foreign vessels sa ating waters']
I love seafood pero nagiging conscious na rin ako sa sustainability,"['I love seafood', 'pero nagiging conscious na rin ako sa sustainability']"
"grabe ang biodiversity loss sa Pinas, we're losing species before we even discover them","['grabe ang biodiversity loss sa Pinas, we're losing species before we even discover them']"
"sana maging mas serious ang conservation efforts, hindi lang pabida sa internasyon","['sana maging mas serious ang conservation efforts, hindi lang pabida sa internasyon']"
"yung indigenous peoples are the best stewards of their ancestral lands, support their rights","['yung indigenous peoples are the best stewards of their ancestral lands, support their rights']"
grabe ang displacement ng indigenous communities for development projects,['grabe ang displacement ng indigenous communities for development projects']
"nakakaiyak ang cultural erosion ng mga indigenous peoples, centuries of tradition being lost","['nakakaiyak ang cultural erosion ng mga indigenous peoples, centuries of tradition being lost']"
"I learned about their culture and it's beautiful, we should preserve it not erase it","['I learned about their culture and it's beautiful, we should preserve it not erase it']"
"grabe ang discrimination against lumad communities, they're citizens too","['grabe ang discrimination against lumad communities, they're citizens too']"
sana kilalanin at igalang ang karapatan ng lahat ng Pilipino anuman ang pinanggalingan,['sana kilalanin at igalang ang karapatan ng lahat ng Pilipino anuman ang pinanggalingan']
yung peace process in Mindanao needs sustained commitment from all parties,['yung peace process in Mindanao needs sustained commitment from all parties']
"grabe ang suffering ng communities affected by armed conflict, enough na","['grabe ang suffering ng communities affected by armed conflict, enough na']"
"nakakaiyak ang mga bata na lumaki sa gitna ng giyera, they deserve a peaceful childhood","['nakakaiyak ang mga bata na lumaki sa gitna ng giyera, they deserve a peaceful childhood']"
I pray for lasting peace in Mindanao and in the whole country,['I pray for lasting peace in Mindanao and in the whole country']
"grabe ang need for reconciliation and healing, we've been divided too long","['grabe ang need for reconciliation and healing, we've been divided too long']"
"sana mas maraming dialogue at less violence, kaya nating resolbahin ang mga pagkakaiba","['sana mas maraming dialogue at less violence, kaya nating resolbahin ang mga pagkakaiba']"
yung federalism debate is interesting but we need to address corruption first,['yung federalism debate is interesting but we need to address corruption first']
grabe ang disconnect ng mga nasa itaas sa realidad ng mga nasa baba,['grabe ang disconnect ng mga nasa itaas sa realidad ng mga nasa baba']
"nakakainis ang survey-based governance, do what's right not what's popular","['nakakainis ang survey-based governance, do what's right not what's popular']"
I wish politicians would have the courage to do the hard but right thing,['I wish politicians would have the courage to do the hard but right thing']
"grabe ang short-termism in politics, walang nagpaplano para sa susunod na henerasyon","['grabe ang short-termism in politics, walang nagpaplano para sa susunod na henerasyon']"
"sana mag-think long term ang ating mga lider, hindi lang para sa susunod na eleksyon","['sana mag-think long term ang ating mga lider, hindi lang para sa susunod na eleksyon']"
yung pension system is underfunded and retirees are struggling,['yung pension system is underfunded and retirees are struggling']
"grabe ang situation ng senior citizens, marami walang social security","['grabe ang situation ng senior citizens, marami walang social security']"
nakakaiyak ang mga lolo at lola na nangongolekta ng basura para may makain,['nakakaiyak ang mga lolo at lola na nangongolekta ng basura para may makain']
"I give when I can to elderly people I see struggling, small acts matter","['I give when I can to elderly people I see struggling, small acts matter']"
"grabe ang loneliness epidemic, older people being neglected by families and society","['grabe ang loneliness epidemic, older people being neglected by families and society']"
sana may mas malakas na social protection system tayo para sa lahat,['sana may mas malakas na social protection system tayo para sa lahat']
yung conditional cash transfer program is good pero not enough,"['yung conditional cash transfer program is good', 'pero not enough']"
"grabe ang targeting problems sa social welfare programs, hindi lahat ng mahirap ay naaabot","['grabe ang targeting problems sa social welfare programs, hindi lahat ng mahirap ay naaabot']"
"nakakainis ang politicization ng ayuda, ginagawang pabor hindi karapatan","['nakakainis ang politicization ng ayuda, ginagawang pabor hindi karapatan']"
I think social welfare should be a right not a political tool,['I think social welfare should be a right not a political tool']
"grabe ang shame na nararamdaman ng mga tumatanggap ng ayuda, hindi dapat ganyan","['grabe ang shame na nararamdaman ng mga tumatanggap ng ayuda, hindi dapat ganyan']"
"sana mabawasan ang stigma sa poverty, hindi kasalanan ng mahihirap ang kahirapan nila","['sana mabawasan ang stigma sa poverty, hindi kasalanan ng mahihirap ang kahirapan nila']"
yung systemic issues are being ignored while we blame individuals for their poverty,['yung systemic issues are being ignored while we blame individuals for their poverty']
"grabe ang victim blaming culture, parang kasalanan ng biktima ang krimen","['grabe ang victim blaming culture, parang kasalanan ng biktima ang krimen']"
nakakainis ang lack of empathy ng mga hindi nakaranas ng kahirapan,['nakakainis ang lack of empathy ng mga hindi nakaranas ng kahirapan']
"I grew up poor and I know the judgment people throw at you, be kind","['I grew up poor and I know the judgment people throw at you, be kind']"
"grabe ang classism sa Pinas, the way poor people are treated is dehumanizing","['grabe ang classism sa Pinas, the way poor people are treated is dehumanizing']"
"sana maging mas compassionate ang ating lipunan, we're all in this together","['sana maging mas compassionate ang ating lipunan, we're all in this together']"
